"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
3.01474113581073,5.4,-0.86,0.27,-10.7,0.092,23,398,0.98527,5.02,0.64,12.3,-1,1.79175946922805,2
3.62186861554457,12.4,0.385,-0.76,-19.7,1.169,-37,68,0.99048,3.37,1.09,16,0,1.79175946922805,2
1.73831939712905,7.2,1.75,0.17,-33,0.065,9,76,1.04641,4.61,0.68,8.55,0,2.07944154167984,1
1.50697167978128,6.2,0.1,1.8,1,-0.179,104,89,0.98877,3.2,2.11,12.3,-1,2.07944154167984,1
1.67686808814121,11.4,0.21,0.28,1.2,0.038,70,53,1.02899,2.54,-0.07,4.8,0,2.30258509299405,1
5.66375927126166,17.6,0.04,-1.15,1.4,0.535,-250,140,0.95028,3.06,-0.02,11.4,1,2.07944154167984,4
3.38429159128796,15.5,0.53,-0.53,4.6,1.263,10,17,1.0002,3.07,0.75,8.5,0,2.484906649788,3
5.17446610497721,15.9,1.19,1.14,31.9,-0.299,115,381,1.03416,2.99,0.31,11.4,1,1.94591014905531,3
1.54080400134772,11.6,0.32,0.55,-50.9,0.076,35,83,1.0002,3.32,2.18,-0.5,0,2.484906649788,1
4.28161045753364,3.8,0.22,0.31,-7.7,0.039,40,129,0.9061,4.72,-0.64,10.9,0,1.94591014905531,3
1.80119647675081,6.8,1.68,0.44,-13.3,0.046,-49,583,1.00833,2.63,1.64,12.6,0,2.07944154167984,1
4.02659886933086,9,-0.21,0.04,51.4,0.237,-213,-527,0.99516,3.16,0.7,14.7,1,2.30258509299405,2
3.34492781489608,24.6,0.03,-1.2,1.3,0.035,241,297,0.99232,2.22,0.5,9.8,0,2.19722457733622,2
3.37670090241433,13,0.21,0.32,-3.2,-0.263,111,141,0.95918,3.2,-0.78,4.2,0,2.07944154167984,2
1.48870541253016,17.9,-0.42,-0.91,7.1,0.045,-177,169,0.95307,3.17,-1.12,13.2,-1,2.19722457733622,1
2.54436600805557,10,0.2,1.27,30.9,0.05,19,152,0.994,2.63,0.42,13.8,-1,2.39789527279837,2
1.5204620030681,7.4,0.29,0.5,8.5,-0.48,178,647,0.97275,3.45,0.5,10.2,-1,2.07944154167984,1
1.88197477988373,11.7,1.18,-0.94,-62,0.675,7,-393,0.99974,3.96,0.69,5.2,1,2.56494935746154,1
3.50095624840331,9.7,0.41,-1,20.8,-0.235,24,113,0.99772,3.44,0.53,9.8,0,1.94591014905531,2
5.75679396443449,-5.2,-0.98,-0.08,6.4,0.046,180,166,0.994,3.3,2.18,9.9,1,1.6094379124341,3
2.17378385221069,7.3,0.19,0.49,-35.55,0.38,-75,343,0.9998,3.42,0.36,13.3,-2,2.07944154167984,2
1.94273262364488,6.7,-0.78,0.31,16.4,-0.03,20,-16,0.99834,3.11,-0.57,9.1,0,1.94591014905531,1
6.1812407583964,4.1,0.54,-0.3,2.2,0.088,9,427,0.99725,3.98,2.06,11.4,2,2.07944154167984,3
1.51371165422767,6.5,1.53,0.84,-14.4,0.047,54,184,0.9461,3.17,-0.56,9.2,-1,1.94591014905531,1
3.38482238832328,11.8,0.27,0.46,11.75,0.316,61,794,1.01959,2.2,0.07,5.4,0,1.94591014905531,2
5.6982064336423,-5,0.16,0.78,1.4,-0.898,10,67,0.94608,2.5,0.41,9.4,2,1.94591014905531,2
2.64884831704235,8.3,0.26,1.93,-12.7,0.042,41,479,0.99869,3.1,1.66,12,-1,2.19722457733622,2
6.05530536731107,3.3,0.23,-1.39,1.8,0.043,-183,69,0.9933,3.38,0.31,10.8,1,1.79175946922805,4
4.57860406752715,8.7,0.3,0.3,-4.5,0.053,48.5,314,0.94736,2.73,2,10.3,0,2.07944154167984,4
1.46697096417351,1.2,1.01,0.32,55.6,0.038,-345,277,0.99074,4.29,-1.02,9,-1,1.94591014905531,1
4.15642229113696,7,0.21,0.49,16.5,-0.066,400,-239,0.95914,3.29,-0.63,10.8,0,2.07944154167984,3
2.22667564501642,7.9,0.16,1.32,7.4,0.05,109,152,0.99612,3.12,1.28,3.8,1,2.07944154167984,1
4.22869950522032,-5.4,0.345,0.27,10.1,0.056,38,187,0.99486,2.14,0.12,14.4,0,1.94591014905531,3
1.97265880353,-3.9,0.74,-0.95,11.7,0.4,293,185,0.99266,3.28,-2.01,16.4,0,1.94591014905531,1
1.44526593866026,8,-0.41,0.57,10.4,0.585,176,134,0.98409,3.12,-0.35,10.7,-1,2.19722457733622,1
3.52938822243796,6.7,0.14,0.49,1.4,-0.233,6,-77,1.01696,2.92,0.42,10.8,0,1.94591014905531,2
2.35010616780648,6.4,0.29,0.18,3,0.04,21,-102,0.99736,4.39,1.42,9.2,1,1.94591014905531,1
3.43627533951135,6.9,-2.34,1.33,-28.4,0.039,-30,98,1.01251,4.64,0.46,9.2,-1,1.94591014905531,3
3.95178291907897,5.6,0.12,0.24,4.8,-0.465,24,72,1.024,3.23,3.32,12.6,-1,1.79175946922805,4
